Category,Type,Name,Select
Beauty & HPC,brand,L'Oréal,Y
Beauty & HPC,brand,Estée Lauder,Y
Beauty & HPC,brand,Nivea,Y
Beauty & HPC,brand,Gillette,Y
Beauty & HPC,brand,Dove,Y
Beauty & HPC,brand,Guerlain,Y
Beauty & HPC,brand,Lancôme,Y
Beauty & HPC,brand,Clinique,Y
Beauty & HPC,brand,Pantene,Y
Beauty & HPC,brand,Garnier,Y
Beauty & HPC,brand,Maybelline,Y
Beauty & HPC,brand,Head & Shoulders,Y
Beauty & HPC,brand,PECHOIN,Y
Beauty & HPC,brand,Johnson's,Y
Beauty & HPC,brand,Clarins,Y
Beauty & HPC,brand,Procter & Gamble,Y
Beauty & HPC,brand,M.A.C,Y
Beauty & HPC,brand,SK-II,Y
Beauty & HPC,brand,Olay,Y
Beauty & HPC,brand,Benefit beauty,Y
Beauty & HPC,brand,Yves Rocher,Y
Beauty & HPC,brand,Natura,
Beauty & HPC,brand,Rexona,Y
Beauty & HPC,brand,L'Occitane,Y
Beauty & HPC,brand,Schwarzkopf,Y
Beauty & HPC,brand,Axe,
Beauty & HPC,brand,Lynx,
Beauty & HPC,brand,Elsève,Y
Beauty & HPC,brand,Elvive,Y
Beauty & HPC,brand,Neutrogena,Y
Beauty & HPC,brand,Old Spice,
Beauty & HPC,brand,Lux beauty,Y
Beauty & HPC,brand,Fresh,
Beauty & HPC,brand,CHANDO,Y
Beauty & HPC,brand,Sulwhasoo,Y
Beauty & HPC,brand,The History of Whoo,Y
Beauty & HPC,brand,Shiseido,Y
Beauty & HPC,brand,Palmolive,Y
Beauty & HPC,brand,Biore,Y
Beauty & HPC,brand,Sunsilk,Y
Beauty & HPC,brand,La Roche-Posay,Y
Beauty & HPC,brand,Rejoice,
Beauty & HPC,brand,Clear,
Beauty & HPC,brand,Bobbi Brown,Y
Beauty & HPC,brand,Kosé,
Beauty & HPC,brand,TRESemme,Y
Beauty & HPC,brand,Herbal Essences,Y
Beauty & HPC,brand,Lifebuoy,Y
Beauty & HPC,brand,Vichy,Y
Beauty & HPC,brand,Oriflame,Y
Beauty & HPC,brand,Suave,
Beauty & HPC,brand,Syoss,Y
Beauty & HPC,brand,E.l.f. beauty,Y
Beauty & HPC,brand,Glossier,Y
Beauty & HPC,brand,ColourPop,Y
Beauty & HPC,brand,Kiehls,Y
Beauty & HPC,brand,Maybelline,Y
Beauty & HPC,brand,Shu Uemura,Y
Beauty & HPC,brand,Oddity,Y
Tech,brand,Apple,Y
Tech,brand,Samsung,Y
Tech,brand,Huawei,Y
Tech,brand,Dell Technologies,Y
Tech,brand,LG Group,Y
Tech,brand,Sony,Y
Tech,brand,Midea,Y
Tech,brand,Panasonic,Y
Tech,brand,HP,Y
Tech,brand,Canon,Y
Tech,brand,Xbox,Y
Tech,brand,Gree,
Tech,brand,PlayStation,Y
Tech,brand,Haier,Y
Tech,brand,Xiaomi,Y
Tech,brand,Hikvision,
Tech,brand,Lenovo,Y
Tech,brand,Goertek,Y
Tech,brand,BOE,Y
Tech,brand,Mitsubishi Electric,Y
Tech,brand,Nintendo,Y
Tech,brand,Techtronic Industries,Y
Tech,brand,Western Digital,Y
Tech,brand,ZTE,Y
Tech,brand,Kyocera,Y
Tech,brand,Sharp,
Tech,brand,Quanta Computer,Y
Tech,brand,Toshiba,Y
Tech,brand,Motorola Solutions,Y
Tech,brand,OnePlus,
Tech,brand,Harman,Y
Tech,brand,Fujifilm,Y
Tech,brand,ASUS,Y
Tech,brand,Whirlpool,
Tech,brand,Wii,Y
Tech,brand,Logitech,Y
Tech,brand,Seb,
Tech,brand,Arçelik,
Tech,brand,Trimble Navigation,
Tech,brand,Pegatron,
Tech,brand,Transsion,
Tech,brand,Sandisk,
Tech,brand,TCL CSOT,
Tech,brand,Lens Technology,
Tech,brand,Coway,
Tech,brand,Brother Industries,
Tech,brand,MSI,
Tech,brand,Miele,
Tech,brand,Vestel,
Tech,brand,Supor,
Beauty & HPC,keyword,beauty supplies,Y
Beauty & HPC,keyword,cosmetics,Y
